分类: 📡卫视频道, 名称: 广东卫视, 有效: 20, IPv4: 336, IPv6: 0, 最小延迟: 59 ms, 最高速率: 87.35 M/s, 平均速率: 22.59 M/s, 最高分辨率: 3840x2160, 平均帧率: 33.33, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 浙江卫视, 有效: 19, IPv4: 117, IPv6: 0, 最小延迟: 72 ms, 最高速率: 52.62 M/s, 平均速率: 18.74 M/s, 最高分辨率: 3840x2160, 平均帧率: 41.67, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 湖南卫视, 有效: 20, IPv4: 329, IPv6: 0, 最小延迟: 75 ms, 最高速率: 68.56 M/s, 平均速率: 27.57 M/s, 最高分辨率: 3840x2160, 平均帧率: 31.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 北京卫视, 有效: 15, IPv4: 135, IPv6: 0, 最小延迟: 69 ms, 最高速率: 75.54 M/s, 平均速率: 32.54 M/s, 最高分辨率: 3840x2160, 平均帧率: 37.50, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 湖北卫视, 有效: 15, IPv4: 301, IPv6: 0, 最小延迟: 64 ms, 最高速率: 76.30 M/s, 平均速率: 36.85 M/s, 最高分辨率: 1920x1080, 平均帧率: 37.50, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 黑龙江卫视, 有效: 13, IPv4: 113, IPv6: 0, 最小延迟: 59 ms, 最高速率: 78.90 M/s, 平均速率: 37.95 M/s, 最高分辨率: 1920x1080, 平均帧率: 50.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 安徽卫视, 有效: 16, IPv4: 286, IPv6: 0, 最小延迟: 51 ms, 最高速率: 96.27 M/s, 平均速率: 32.65 M/s, 最高分辨率: 1920x1080, 平均帧率: 41.67, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 东方卫视, 有效: 19, IPv4: 118, IPv6: 0, 最小延迟: 65 ms, 最高速率: 73.87 M/s, 平均速率: 29.57 M/s, 最高分辨率: 1920x1080, 平均帧率: 50.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 贵州卫视, 有效: 20, IPv4: 271, IPv6: 0, 最小延迟: 53 ms, 最高速率: 94.47 M/s, 平均速率: 35.87 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 重庆卫视, 有效: 17, IPv4: 116, IPv6: 0, 最小延迟: 63 ms, 最高速率: 69.39 M/s, 平均速率: 24.22 M/s, 最高分辨率: 1920x1080, 平均帧率: 50.00, 视频编解码器: h264, 音频编解码器: mp2
