❀营口高码[git],#genre#
兵团卫视,http://39.134.51.147:6410/PLTV/11/224/3221227464/index.m3u8??servicetype=1
广西卫视,http://39.134.51.147:6410/PLTV/11/224/3221227577/index.m3u8??servicetype=1
四川卫视,http://39.134.51.147:6410/PLTV/11/224/3221227579/index.m3u8??servicetype=1
河南卫视,http://39.134.51.147:6410/PLTV/11/224/3221227595/index.m3u8??servicetype=1
云南卫视,http://39.134.51.147:6410/PLTV/11/224/3221227597/index.m3u8??servicetype=1
云南卫视,http://39.134.51.147:6410/PLTV/11/224/3221227536/index.m3u8??servicetype=1
CHC影迷电影,http://39.134.51.147:6410/PLTV/11/224/3221227635/index.m3u8??servicetype=1
CHC动作电影,http://39.134.51.147:6410/PLTV/11/224/3221227724/index.m3u8??servicetype=1
CHC家庭影院,http://39.134.51.147:6410/PLTV/11/224/3221227727/index.m3u8??servicetype=1
文物宝库,http://39.134.51.147:6410/PLTV/11/224/3221227718/index.m3u8??servicetype=1
梨园频道,http://39.134.51.147:6410/PLTV/11/224/3221227721/index.m3u8??servicetype=1
武术世界,http://39.134.51.147:6410/PLTV/11/224/3221227708/index.m3u8??servicetype=1
金鹰纪实,http://39.134.51.147:6410/PLTV/11/224/3221227661/index.m3u8??servicetype=1
金鹰卡通,http://39.134.51.147:6410/PLTV/11/224/3221227669/index.m3u8??servicetype=1
北京纪实科教,http://39.134.51.147:6410/PLTV/11/224/3221227617/index.m3u8??servicetype=1
CCTV兵器科技,http://39.134.51.147:6410/PLTV/11/224/3221227647/index.m3u8??servicetype=1
CCTV高尔夫网球,http://39.134.51.147:6410/PLTV/11/224/3221227715/index.m3u8??servicetype=1
CCTV风云音乐,http://39.134.51.147:6410/PLTV/11/224/3221227641/index.m3u8??servicetype=1
CCTV第一剧场,http://39.134.51.147:6410/PLTV/11/224/3221227730/index.m3u8??servicetype=1
CCTV怀旧剧场,http://39.134.51.147:6410/PLTV/11/224/3221227733/index.m3u8??servicetype=1
CCTV风云剧场,http://39.134.51.147:6410/PLTV/11/224/3221227736/index.m3u8??servicetype=1
CCTV世界地理,http://39.134.51.147:6410/PLTV/11/224/3221227739/index.m3u8??servicetype=1
CCTV女性时尚,http://39.134.51.147:6410/PLTV/11/224/3221227742/index.m3u8??servicetype=1
CCTV央视台球,http://39.134.51.147:6410/PLTV/11/224/3221227711/index.m3u8??servicetype=1
CCTV电视指南,http://39.134.51.147:6410/PLTV/11/224/3221227748/index.m3u8??servicetype=1
CCTV央视文化精品,http://39.134.51.147:6410/PLTV/11/224/3221227644/index.m3u8??servicetype=1
睛彩竞技,http://39.134.51.147:6410/PLTV/11/224/3221227670/index.m3u8??servicetype=1
睛彩青少,http://39.134.51.147:6410/PLTV/11/224/3221227587/index.m3u8??servicetype=1
睛彩广场舞,http://39.134.51.147:6410/PLTV/11/224/3221227590/index.m3u8??servicetype=1
