广西移动,#genre#
CCTV-17 农业农村,http://gxyd.484947.xyz/PLTV/77777777/224/3221225910/index.m3u8?servicetype=1
CCTV-17 农业农村,http://gxyd.484947.xyz/PLTV/77777777/224/3221226371/index.m3u8?servicetype=1
CCTV高尔夫网球,http://gxyd.484947.xyz/PLTV/77777777/224/3221225884/index.m3u8?servicetype=1
CETV1,http://gxyd.484947.xyz/PLTV/77777777/224/3221225776/index.m3u8?servicetype=1
CETV1,http://gxyd.484947.xyz/PLTV/77777777/224/3221226411/index.m3u8?servicetype=1
CETV2,http://gxyd.484947.xyz/PLTV/77777777/224/3221225881/index.m3u8?servicetype=1
CETV4,http://gxyd.484947.xyz/PLTV/77777777/224/3221225723/index.m3u8?servicetype=1
CETV4,http://gxyd.484947.xyz/PLTV/77777777/224/3221226414/index.m3u8?servicetype=1
CGTN,http://gxyd.484947.xyz/PLTV/77777777/224/3221225816/index.m3u8?servicetype=1
CGTN,http://gxyd.484947.xyz/PLTV/77777777/224/3221226417/index.m3u8?servicetype=1
CGTN俄语,http://gxyd.484947.xyz/PLTV/77777777/224/3221225825/index.m3u8?servicetype=1
CGTN法语,http://gxyd.484947.xyz/PLTV/77777777/224/3221225878/index.m3u8?servicetype=1
CGTN纪录,http://gxyd.484947.xyz/PLTV/77777777/224/3221225707/index.m3u8?servicetype=1
CGTN西语,http://gxyd.484947.xyz/PLTV/77777777/224/3221225875/index.m3u8?servicetype=1
CGTN阿语,http://gxyd.484947.xyz/PLTV/77777777/224/3221225822/index.m3u8?servicetype=1
FM,http://gxyd.484947.xyz/PLTV/77777777/224/3221226278/index.m3u8?servicetype=1
东南卫视,http://gxyd.484947.xyz/PLTV/77777777/224/3221225904/index.m3u8?servicetype=1
东南卫视,http://gxyd.484947.xyz/PLTV/77777777/224/3221226381/index.m3u8?servicetype=1
东方卫视,http://gxyd.484947.xyz/PLTV/77777777/224/3221225718/index.m3u8?servicetype=1
东方卫视,http://gxyd.484947.xyz/PLTV/77777777/224/3221225942/index.m3u8?servicetype=1
东方卫视,http://gxyd.484947.xyz/PLTV/77777777/224/3221226016/index.m3u8?servicetype=1
东方卫视,http://gxyd.484947.xyz/PLTV/77777777/224/3221226377/index.m3u8?servicetype=1
云南卫视,http://gxyd.484947.xyz/PLTV/77777777/224/3221225794/index.m3u8?servicetype=1
云南卫视,http://gxyd.484947.xyz/PLTV/77777777/224/3221226397/index.m3u8?servicetype=1
北京卫视4K,http://gxyd.484947.xyz/PLTV/77777777/224/3221226333/index.m3u8?servicetype=1
兵团卫视,http://gxyd.484947.xyz/PLTV/77777777/224/3221225795/index.m3u8?servicetype=1
兵团卫视,http://gxyd.484947.xyz/PLTV/77777777/224/3221226423/index.m3u8?servicetype=1
内蒙古卫视,http://gxyd.484947.xyz/PLTV/77777777/224/3221225751/index.m3u8?servicetype=1
