📡  电信广电,#genre#
阳江2,http://ymz.stkeyu.top:8303/udp/239.253.43.83:5146
IPTV-央视,#genre#
CCTV-1,http://ymz.stkeyu.top:8303/udp/239.77.0.129:5146
CCTV-2,http://ymz.stkeyu.top:8303/udp/239.77.0.137:5146
CCTV-3,http://ymz.stkeyu.top:8303/udp/239.77.0.169:5146
CCTV-4,http://ymz.stkeyu.top:8303/udp/239.77.1.163:5146
CCTV-5,http://ymz.stkeyu.top:8303/udp/239.77.0.177:5146
CCTV-5+,http://ymz.stkeyu.top:8303/udp/239.77.0.87:5146
CCTV-6,http://ymz.stkeyu.top:8303/udp/239.77.0.171:5146
CCTV-7,http://ymz.stkeyu.top:8303/udp/239.77.1.159:5146
CCTV-8,http://ymz.stkeyu.top:8303/udp/239.77.0.172:5146
CCTV-9,http://ymz.stkeyu.top:8303/udp/239.77.1.160:5146
CCTV-10,http://ymz.stkeyu.top:8303/udp/239.77.1.113:5146
CCTV-11,http://ymz.stkeyu.top:8303/udp/239.77.1.108:5146
CCTV-13,http://ymz.stkeyu.top:8303/udp/239.77.0.42:5146
CCTV-14,http://ymz.stkeyu.top:8303/udp/239.77.1.161:5146
CCTV-15,http://ymz.stkeyu.top:8303/udp/239.77.1.120:5146
CCTV-16,http://ymz.stkeyu.top:8303/udp/239.77.0.165:5146
CCTV-17,http://ymz.stkeyu.top:8303/udp/239.77.1.121:5146
CCTV4K,http://ymz.stkeyu.top:8303/udp/239.77.0.194:5146
CCTV4K,http://ymz.stkeyu.top:8303/udp/239.77.1.180:5146
湖南卫视,http://ymz.stkeyu.top:8303/udp/239.77.0.6:5146
湖南卫视4K,http://ymz.stkeyu.top:8303/udp/239.77.0.56:5146
浙江卫视,http://ymz.stkeyu.top:8303/udp/239.77.0.12:5146
浙江卫视4K,http://ymz.stkeyu.top:8303/udp/239.77.0.58:5146
江苏卫视,http://ymz.stkeyu.top:8303/udp/239.77.0.7:5146
江苏卫视4K,http://ymz.stkeyu.top:8303/udp/239.77.0.57:5146
东方卫视,http://ymz.stkeyu.top:8303/udp/239.77.0.5:5146
东方卫视4K,http://ymz.stkeyu.top:8303/udp/239.77.0.59:5146
安徽卫视,http://ymz.stkeyu.top:8303/udp/239.77.1.92:5146
北京卫视,http://ymz.stkeyu.top:8303/udp/239.77.1.4:5146
北京卫视4K,http://ymz.stkeyu.top:8303/udp/239.77.1.13:5146
天津卫视,http://ymz.stkeyu.top:8303/udp/239.77.1.141:5146
山东卫视,http://ymz.stkeyu.top:8303/udp/239.77.0.8:5146
山东卫视4K,http://ymz.stkeyu.top:8303/udp/239.77.0.61:5146
江西卫视,http://ymz.stkeyu.top:8303/udp/239.77.1.219:5146
湖北卫视,http://ymz.stkeyu.top:8303/udp/239.77.1.174:5146
辽宁卫视,http://ymz.stkeyu.top:8303/udp/239.77.0.123:5146
